objective,size,optimizer,pct_of_best_ever_at_tight_budget
Z-Dynamic,0.6b,ASHA-min400,80.45798404287895
Z-Dynamic,0.6b,ASHA-step400,81.70546473073819
Z-Dynamic,0.6b,ASHA-step400-gentle,80.45798404287895
Z-Dynamic,0.6b,BOHB-min400,80.45798404287895
Z-Dynamic,0.6b,BOHB-step400,83.0540744315713
Z-Dynamic,0.6b,BOHB-step400-gentle,80.45798404287895
Z-Dynamic,0.6b,BOTorch,82.91487394982491
Z-Dynamic,0.6b,CQR,80.45798404287895
Z-Dynamic,0.6b,RandomSearch,79.47605915682713
Z-Dynamic,0.6b,TPE,84.85125679825268
Z-Dynamic,1.7b,ASHA-min400,62.158767299599596
Z-Dynamic,1.7b,ASHA-step400,67.5268970701318
Z-Dynamic,1.7b,ASHA-step400-gentle,62.158767299599596
Z-Dynamic,1.7b,BOHB-min400,62.158767299599596
Z-Dynamic,1.7b,BOHB-step400,66.92910987300696
Z-Dynamic,1.7b,BOHB-step400-gentle,62.158767299599596
Z-Dynamic,1.7b,BOTorch,68.79012288070393
Z-Dynamic,1.7b,CQR,62.158767299599596
Z-Dynamic,1.7b,RandomSearch,40.85505965855602
Z-Dynamic,1.7b,TPE,52.372045876488166
Z-Dynamic,4b,ASHA-min400,54.53738831405036
Z-Dynamic,4b,ASHA-step400,65.3678547140343
Z-Dynamic,4b,ASHA-step400-gentle,56.73303212264371
Z-Dynamic,4b,BOHB-min400,55.01722870055741
Z-Dynamic,4b,BOHB-step400,64.40391204234447
Z-Dynamic,4b,BOHB-step400-gentle,57.511375522380064
Z-Dynamic,4b,BOTorch,39.73675672084636
Z-Dynamic,4b,CQR,54.900084430912536
Z-Dynamic,4b,RandomSearch,51.54202357853601
Z-Dynamic,4b,TPE,27.559026334138558
Z-Dynamic,8b,ASHA-min400,76.91013718949796
Z-Dynamic,8b,ASHA-step400,80.07117184820342
Z-Dynamic,8b,ASHA-step400-gentle,76.91013718949796
Z-Dynamic,8b,BOHB-min400,76.91013718949796
Z-Dynamic,8b,BOHB-step400,79.0467878213576
Z-Dynamic,8b,BOHB-step400-gentle,76.91013718949796
Z-Dynamic,8b,BOTorch,66.74689786273626
Z-Dynamic,8b,CQR,76.58805512712097
Z-Dynamic,8b,RandomSearch,65.01793849234653
Z-Dynamic,8b,TPE,71.63925074893446
Z-Dynamic,14b,ASHA-min400,72.05254925726658
Z-Dynamic,14b,ASHA-step400,72.16702630763278
Z-Dynamic,14b,ASHA-step400-gentle,72.05254925726658
Z-Dynamic,14b,BOHB-min400,72.05254925726658
Z-Dynamic,14b,BOHB-step400,72.16702630763278
Z-Dynamic,14b,BOHB-step400-gentle,72.05254925726658
Z-Dynamic,14b,BOTorch,65.37783895970328
Z-Dynamic,14b,CQR,72.05254925726658
Z-Dynamic,14b,RandomSearch,61.69930853196898
Z-Dynamic,14b,TPE,66.0747244682874
Z-All,0.6b,ASHA-min400,71.56118023593015
Z-All,0.6b,ASHA-step400,74.52949452998509
Z-All,0.6b,ASHA-step400-gentle,71.56118023593015
Z-All,0.6b,BOHB-min400,71.56118023593015
Z-All,0.6b,BOHB-step400,74.52949452998509
Z-All,0.6b,BOHB-step400-gentle,71.56118023593015
Z-All,0.6b,BOTorch,67.52128547600768
Z-All,0.6b,CQR,71.56118023593015
Z-All,0.6b,RandomSearch,68.21511938932849
Z-All,0.6b,TPE,58.99763192143035
Z-All,1.7b,ASHA-min400,58.635927187880306
Z-All,1.7b,ASHA-step400,70.52163326781594
Z-All,1.7b,ASHA-step400-gentle,58.635927187880306
Z-All,1.7b,BOHB-min400,58.635927187880306
Z-All,1.7b,BOHB-step400,71.11187712822539
Z-All,1.7b,BOHB-step400-gentle,58.635927187880306
Z-All,1.7b,BOTorch,73.26834651768024
Z-All,1.7b,CQR,58.635927187880306
Z-All,1.7b,RandomSearch,65.89228666956791
Z-All,1.7b,TPE,45.272221601630214
Z-All,4b,ASHA-min400,66.76536031065457
Z-All,4b,ASHA-step400,77.35752636563171
Z-All,4b,ASHA-step400-gentle,65.17753220166843
Z-All,4b,BOHB-min400,66.06750548198033
Z-All,4b,BOHB-step400,74.9199061763674
Z-All,4b,BOHB-step400-gentle,65.67783523202436
Z-All,4b,BOTorch,76.37764515045782
Z-All,4b,CQR,63.27045021827511
Z-All,4b,RandomSearch,67.98403300870744
Z-All,4b,TPE,59.883851239389436
Z-All,8b,ASHA-min400,78.97887566270965
Z-All,8b,ASHA-step400,84.12705420560346
Z-All,8b,ASHA-step400-gentle,78.97887566270965
Z-All,8b,BOHB-min400,78.97887566270965
Z-All,8b,BOHB-step400,84.12705420560346
Z-All,8b,BOHB-step400-gentle,78.97887566270965
Z-All,8b,BOTorch,78.271580001153
Z-All,8b,CQR,78.97887566270965
Z-All,8b,RandomSearch,69.86362357659162
Z-All,8b,TPE,64.68910617915601
Z-All,14b,ASHA-min400,69.54408356028537
Z-All,14b,ASHA-step400,72.59337276371578
Z-All,14b,ASHA-step400-gentle,69.54408356028537
Z-All,14b,BOHB-min400,69.54408356028537
Z-All,14b,BOHB-step400,73.73248488917845
Z-All,14b,BOHB-step400-gentle,69.54408356028537
Z-All,14b,BOTorch,71.3443416412033
Z-All,14b,CQR,69.54408356028537
Z-All,14b,RandomSearch,69.0863478427633
Z-All,14b,TPE,64.69109126993793
