size,size_params_b,objective,point_lr,point_beta,boot_lr_p10,boot_lr_p50,boot_lr_p90,boot_beta_p10,boot_beta_p50,boot_beta_p90,benchmark_boot_stability,elo_boot_n_reps,elo_boot_stability
0.6b,0.6,Z-All,4e-06,0.01,4e-06,4e-06,4e-06,0.01,0.01,0.02,0.822,10.0,1.0
0.6b,0.6,Z-Dynamic,2e-06,0.04,2e-06,2e-06,4e-06,0.01,0.04,0.04,0.504,10.0,0.3
0.6b,0.6,Z-Static,4e-06,0.01,4e-06,4e-06,4e-06,0.01,0.01,0.02,0.7105,,
1.7b,1.7,Z-All,4e-06,0.02,4e-06,4e-06,4e-06,0.01,0.02,0.02,0.6355,10.0,0.8
1.7b,1.7,Z-Dynamic,4e-06,0.02,4e-06,4e-06,4e-06,0.02,0.02,0.02,0.9365,10.0,0.8
1.7b,1.7,Z-Static,4e-06,0.01,4e-06,4e-06,4e-06,0.01,0.02,0.04,0.253,,
4b,4.0,Z-All,2e-06,0.01,1e-06,2e-06,2e-06,0.01,0.01,0.01,0.568,10.0,0.9
4b,4.0,Z-Dynamic,1e-06,0.01,1e-06,1e-06,1e-06,0.01,0.01,0.01,0.921,10.0,0.9
4b,4.0,Z-Static,2e-06,0.01,1e-06,2e-06,2e-06,0.01,0.01,0.01,0.748,,
8b,8.0,Z-All,1e-06,0.01,1e-06,1e-06,4e-06,0.01,0.01,0.01,0.695,10.0,1.0
8b,8.0,Z-Dynamic,1e-06,0.01,1e-06,1e-06,2e-06,0.01,0.01,0.01,0.813,10.0,1.0
8b,8.0,Z-Static,4e-06,0.01,1e-06,4e-06,4e-06,0.01,0.01,0.04,0.6085,,
14b,14.0,Z-All,1e-06,0.02,1e-06,1e-06,4e-06,0.01,0.02,0.02,0.47,10.0,1.0
14b,14.0,Z-Dynamic,1e-06,0.01,1e-06,1e-06,1e-06,0.01,0.01,0.02,0.726,10.0,1.0
14b,14.0,Z-Static,4e-06,0.02,1e-06,4e-06,4e-06,0.01,0.02,0.04,0.395,,
