lr,beta,dpo_step,elapsed_time_sec,model_name,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
1e-06,0.01,200,6770.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step200,69.96587030716724,36.36363636363637,89.31008339651251,82.07528380800638,80.52230685527746,59.81569427606325,80.17144509900398,71.26666666666667,,,1232.8019401773304
1e-06,0.01,400,13541.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step400,72.35494880546075,36.868686868686865,92.19105382865807,82.20474009161521,78.72687704026116,66.98725009445576,77.64603474336982,76.43333333333332,88.38709677419355,,1276.7449633121664
1e-06,0.01,600,20312.8,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step600,72.86689419795222,36.868686868686865,91.3570887035633,82.45369448317068,78.50924918389553,68.08010092307558,76.69932445910183,74.3,86.60130718954248,,1285.786981658013
1e-06,0.01,800,27083.8,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step800,73.63481228668942,34.84848484848485,89.61334344200151,82.50348536148178,78.29162132752992,68.63689334870728,75.69764890490565,74.53333333333333,85.3896103896104,,1253.5506202012161
1e-06,0.01,1000,33854.7,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step1000,73.97610921501706,35.35353535353536,88.32448824867323,82.5731925911173,78.23721436343853,68.82843911596264,75.90997442341876,69.96666666666667,82.9032258064516,51.97567472867536,1257.6523395477159
1e-06,0.01,1200,40625.6,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step1200,74.14675767918088,32.82828282828283,89.08263836239576,82.5731925911173,78.18280739934713,68.7815882401609,74.81338404322753,71.06666666666666,83.98692810457517,,1258.4286005750512
1e-06,0.01,1400,47396.6,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step1400,73.80546075085324,33.83838383838384,89.76497346474602,82.61302529376619,78.18280739934713,69.29396142705434,72.78881146469146,71.56666666666666,83.01282051282051,,1251.6234504192385
1e-06,0.01,1600,54167.5,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step1600,74.23208191126281,32.82828282828283,88.24867323730099,82.47361083449512,78.18280739934713,69.28038983263208,72.78881146469146,,83.12101910828027,,1248.9634173135146
1e-06,0.01,1800,60938.4,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step1800,74.31740614334471,33.33333333333333,88.47611827141773,82.66281617207729,78.23721436343853,69.33292964910636,73.96158858495458,64.93333333333334,80.1948051948052,,1273.3523513353352
1e-06,0.01,2000,67709.4,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01-step2000,74.14675767918088,33.33333333333333,88.17285822592874,82.63294164509063,78.23721436343853,69.28078530700863,73.48574005860007,,,,1274.7313960069228
1e-06,0.01,2031,68758.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.01,74.06143344709898,33.33333333333333,88.40030326004549,82.61302529376619,77.9107725788901,69.31019255070396,72.48406450440386,65.96666666666667,86.85897435897436,54.159268910384114,1262.5725143445798
1e-06,0.02,200,6797.0,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step200,69.88054607508532,36.36363636363637,88.77937831690674,81.99561840270863,80.46789989118606,59.353774155854346,80.41624002092226,,77.59740259740259,,1217.1661272675253
1e-06,0.02,400,13594.0,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step400,71.75767918088737,37.37373737373738,91.43290371493555,82.22465644293966,79.10772578890098,65.2905185822857,77.52363728241068,73.39999999999999,81.9078947368421,49.95493129978207,1265.8021238494903
1e-06,0.02,600,20391.0,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step600,71.84300341296928,36.868686868686865,92.26686884003033,82.11511651065526,79.379760609358,66.24594034037608,77.27884236049239,73.23333333333332,79.03225806451613,,1256.9156567953876
1e-06,0.02,800,27188.0,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step800,72.01365187713311,36.36363636363637,91.12964366944655,82.00557657837084,79.10772578890098,66.5523898208101,78.26926998142707,70.69999999999999,,,1226.3249524754333
1e-06,0.02,1000,33985.0,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step1000,72.01365187713311,35.35353535353536,90.82638362395754,82.20474009161521,78.99891186071817,66.90604390094754,79.39583638080295,71.03333333333333,80.76923076923077,,1240.5292347356947
1e-06,0.02,1200,40781.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step1200,72.44027303754265,36.36363636363637,91.50871872630782,82.18482374029078,79.379760609358,66.8828853767099,78.19308324135515,,85.25641025641025,,1264.2989213207036
1e-06,0.02,1400,47578.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step1400,72.26962457337885,35.35353535353536,91.20545868081881,82.12507468631746,79.21653971708379,67.07109014050813,77.55361330159532,,83.01282051282051,,1257.7980108748277
1e-06,0.02,1600,54375.9,dpo-qwen3-14b-sft-lr3e5-ao-lr1e6-beta0.02-step1600,,35.858585858585855,90.67475360121304,82.22465644293966,79.16213275299239,67.05634720562453,77.41747452315413,68.56666666666666,80.76923076923077,,1250.5655995278441
