lr,beta,dpo_step,elapsed_time_sec,model_name,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
1e-06,0.01,200,1234.7,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step200,56.74061433447098,22.22222222222222,34.874905231235786,67.38697470623381,75.29923830250273,47.307317912580004,40.24571470365298,52.03333333333333,54.63576158940398,4.814955547216571,727.1469132028778
1e-06,0.01,400,2469.4,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step400,57.16723549488054,23.737373737373737,37.37680060652009,67.50647281418044,75.62568008705114,47.19304311445048,40.60165915326889,55.099999999999994,60.13513513513513,5.776712732873563,792.3907540267903
1e-06,0.01,600,3704.2,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step600,57.76450511945392,20.707070707070706,39.72706595905989,67.66580362477595,75.62568008705114,47.24352352221783,39.82355705084731,58.39999999999999,66.22516556291392,5.3722733193908105,824.879337589205
1e-06,0.01,800,4938.9,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step800,57.5938566552901,23.232323232323232,41.015921152388174,67.67576180043817,75.73449401523395,47.33075755417174,41.83438831190131,58.03333333333333,66.78321678321679,6.011282608004024,819.5562748996696
1e-06,0.01,1000,6173.6,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step1000,57.67918088737202,21.71717171717172,42.15314632297195,67.51643098984266,75.68008705114254,47.31209748160815,40.71031529674597,59.36666666666666,68.70748299319727,6.773768844688542,832.6963103322948
1e-06,0.01,1200,7408.3,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step1200,57.16723549488054,23.737373737373737,41.16755117513268,67.66580362477595,75.73449401523395,47.37764095269204,39.98091729943217,59.36666666666666,63.60544217687075,6.023257882880414,798.9838837956462
1e-06,0.01,1400,8643.0,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step1400,57.76450511945392,21.71717171717172,40.86429112964367,67.79525990838479,75.62568008705114,47.404413346292955,39.21655651449266,,70.74829931972789,5.722454813612539,791.2415940255275
1e-06,0.01,1600,9877.7,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step1600,57.67918088737202,21.21212121212121,41.69825625473844,67.57618004381597,75.84330794341676,47.387544935212155,39.75235707921648,,68.83116883116884,5.679001299346672,802.5254368586698
1e-06,0.01,1800,11112.5,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step1800,57.5938566552901,20.707070707070706,41.925701288855194,67.54630551682932,75.51686615886834,47.33895819778529,39.82605043506784,57.8,58.333333333333336,6.087313537740224,831.6095274769929
1e-06,0.01,2000,12347.2,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01-step2000,57.508532423208194,20.707070707070706,41.77407126611069,67.59609639514042,75.62568008705114,47.385073070310504,40.21573868446833,60.43333333333332,66.11842105263158,5.762843260747009,797.3751567718045
1e-06,0.01,2031,12538.6,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.01,57.5938566552901,19.696969696969695,40.33358605003791,67.54630551682932,75.40805223068553,47.26516381307624,41.40475050643404,58.16666666666666,63.85135135135135,6.037494891639752,854.5315118359919
1e-06,0.02,200,1228.4,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.02-step200,56.8259385665529,21.71717171717172,34.950720242608035,67.3770165305716,75.62568008705114,47.36166358856151,40.41930965394043,55.599999999999994,56.9078947368421,4.155658162477762,801.44180380895
1e-06,0.02,400,2456.7,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.02-step400,57.081911262798634,22.727272727272727,37.37680060652009,67.61601274646485,75.78890097932536,47.34722140973195,41.137459717992705,55.766666666666666,60.738255033557046,5.014910320631731,779.8867025130045
1e-06,0.02,600,3685.1,dpo-qwen3-1.7b-sft-lr3e5-ao-lr1e6-beta0.02-step600,57.33788395904437,21.71717171717172,39.27217589082638,67.58613821947819,75.68008705114254,47.3403747795318,40.12581062691436,56.3,59.45945945945946,5.955979820875958,776.0720822547881
