search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
AlpacaEval,ASHA,0,2,2e-06,0.04,200,13705.24964032173,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,ASHA,1,0,2e-06,0.01,1600,9825.802063083647,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,ASHA,2,1,1e-06,0.04,1200,7415.701957321167,57.25256,21.717173,40.940105,67.62597,75.462456,47.464508,40.03588,58.166668,62.5,6.6665845,790.6264,-1.096348,-1.4329449,-1.2187469,7415.6
AlpacaEval,ASHA,3,0,4e-06,0.01,400,2466.3033634185795,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,4,0,4e-06,0.04,800,4924.401661014557,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,ASHA,5,0,4e-06,0.02,2000,12304.401903247832,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,ASHA,6,0,4e-06,0.02,2000,12304.40147886276,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,ASHA,7,1,4e-06,0.01,400,2466.305785274506,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,8,1,2e-06,0.02,1400,8643.803472375868,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,ASHA,9,0,4e-06,0.01,400,2466.30506811142,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,10,0,2e-06,0.02,1400,8643.802028036116,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,ASHA,11,0,2e-06,0.01,1600,9825.80274710655,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,ASHA,12,0,4e-06,0.02,2000,12304.40218195915,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,ASHA,13,0,4e-06,0.01,400,2466.303230857849,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,14,1,4e-06,0.02,2000,12304.40178284645,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,ASHA,15,3,2e-06,0.04,200,13705.253321266173,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,ASHA,16,1,2e-06,0.02,1400,8643.802006816863,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,ASHA,17,1,4e-06,0.02,2000,12304.40172729492,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,ASHA,18,0,4e-06,0.01,400,2466.302138900757,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,19,0,2e-06,0.04,800,4920.102353906632,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,ASHA,20,0,4e-06,0.01,400,2466.302125310898,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,21,0,2e-06,0.01,1600,9825.802016115187,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,ASHA,22,0,2e-06,0.01,1600,9825.80201420784,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,ASHA,23,0,4e-06,0.01,400,2466.301544284821,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,ASHA,24,0,4e-06,0.01,400,2466.301794862748,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,0,2,2e-06,0.04,200,13705.26552042961,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,BOHB,1,0,2e-06,0.01,1600,9825.802006101609,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOHB,2,1,1e-06,0.04,1200,7415.702127790451,57.25256,21.717173,40.940105,67.62597,75.462456,47.464508,40.03588,58.166668,62.5,6.6665845,790.6264,-1.096348,-1.4329449,-1.2187469,7415.6
AlpacaEval,BOHB,3,0,4e-06,0.01,400,2466.3019567489628,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,4,0,4e-06,0.04,800,4924.40169916153,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,BOHB,5,0,4e-06,0.02,2000,12304.401851987835,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOHB,6,0,4e-06,0.02,2000,12304.40430793762,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOHB,7,1,4e-06,0.01,400,2466.301854944229,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,8,1,2e-06,0.02,1400,8643.802562332152,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,BOHB,9,0,4e-06,0.01,400,2466.301549768448,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,10,0,2e-06,0.02,1400,8643.801792716979,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,BOHB,11,0,2e-06,0.01,1600,9825.801848030089,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOHB,12,0,4e-06,0.02,2000,12304.40155301094,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOHB,13,0,4e-06,0.01,400,2466.3021863460544,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,14,1,4e-06,0.02,2000,12304.401760196684,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOHB,15,3,2e-06,0.04,200,13705.26244316101,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,BOHB,16,1,2e-06,0.02,1400,8643.8020945549,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,BOHB,17,1,4e-06,0.02,2000,12304.40203270912,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOHB,18,0,4e-06,0.01,400,2466.3017517089847,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,19,0,2e-06,0.04,800,4920.101795768738,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,BOHB,20,0,4e-06,0.01,400,2466.30192027092,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,21,0,2e-06,0.01,1600,9825.802102661131,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOHB,22,0,2e-06,0.01,1600,9825.802508449551,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOHB,23,0,4e-06,0.01,400,2466.30223236084,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOHB,24,0,4e-06,0.01,400,2466.3017817497257,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOTorch,0,1,4e-06,0.01,400,2466.3017009258274,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOTorch,1,0,4e-06,0.02,2000,12304.401732778548,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOTorch,2,0,1e-06,0.01,1000,6173.701976156235,57.67918,21.717173,42.153145,67.51643,75.680084,47.312096,40.710316,59.366665,68.70748,6.773769,832.6963,-0.8848567,-1.091632,-0.9600477,6173.6
AlpacaEval,BOTorch,3,0,2e-06,0.01,1600,9825.802226161955,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,4,1,1e-06,0.01,1000,6173.702048397065,57.67918,21.717173,42.153145,67.51643,75.680084,47.312096,40.710316,59.366665,68.70748,6.773769,832.6963,-0.8848567,-1.091632,-0.9600477,6173.6
AlpacaEval,BOTorch,5,0,4e-06,0.04,800,4924.401403522492,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,BOTorch,6,0,2e-06,0.04,800,4920.10157737732,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,BOTorch,7,0,2e-06,0.01,1600,9825.80282626152,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,8,0,4e-06,0.04,800,4924.401636219025,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,BOTorch,9,1,2e-06,0.02,1400,8643.80212817192,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,BOTorch,10,0,2e-06,0.02,1400,8643.80209789276,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,BOTorch,11,1,2e-06,0.04,800,4920.101672744751,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,BOTorch,12,0,2e-06,0.04,800,4920.102179145813,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,BOTorch,13,0,2e-06,0.01,1600,9825.80326399803,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,14,0,1e-06,0.04,1200,7415.702345466614,57.25256,21.717173,40.940105,67.62597,75.462456,47.464508,40.03588,58.166668,62.5,6.6665845,790.6264,-1.096348,-1.4329449,-1.2187469,7415.6
AlpacaEval,BOTorch,15,0,2e-06,0.01,1600,9825.80250892639,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,16,0,4e-06,0.01,400,2466.301916456223,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOTorch,17,1,4e-06,0.02,2000,12304.401892280575,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOTorch,18,0,2e-06,0.04,800,4920.101938819886,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,BOTorch,19,1,4e-06,0.04,800,4924.401609039307,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,BOTorch,20,0,4e-06,0.02,2000,12304.401893711089,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,BOTorch,21,1,4e-06,0.01,400,2466.30324087143,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,BOTorch,22,1,2e-06,0.01,1600,9825.802577352522,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,23,1,2e-06,0.01,1600,9825.802053546904,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,BOTorch,24,0,2e-06,0.01,1600,9825.802400684355,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,CQR,0,2,2e-06,0.04,200,13705.247872686385,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,CQR,1,0,2e-06,0.01,1600,9825.802080488204,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,CQR,2,1,1e-06,0.04,1200,7415.702285146714,57.25256,21.717173,40.940105,67.62597,75.462456,47.464508,40.03588,58.166668,62.5,6.6665845,790.6264,-1.096348,-1.4329449,-1.2187469,7415.6
AlpacaEval,CQR,3,0,4e-06,0.01,400,2466.3020504474644,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,4,0,4e-06,0.04,800,4924.401909923554,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,CQR,5,0,4e-06,0.02,2000,12304.40184459686,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,CQR,6,0,4e-06,0.02,2000,12304.401826000212,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,CQR,7,1,4e-06,0.01,400,2466.302060222626,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,8,1,2e-06,0.02,1400,8643.802021121977,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,CQR,9,0,4e-06,0.01,400,2466.302161073685,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,10,0,2e-06,0.02,1400,8643.80215821266,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,CQR,11,0,2e-06,0.01,1600,9825.802070236205,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,CQR,12,0,4e-06,0.02,2000,12304.402007198332,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,CQR,13,0,4e-06,0.01,400,2466.301770782471,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,14,1,4e-06,0.02,2000,12304.401805973052,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,CQR,15,3,2e-06,0.04,200,13705.250817871092,57.337883,22.727272,36.694466,67.64589,75.462456,47.22928,39.886,54.466667,64.62585,6.459564,809.2971,-0.22349349,-0.3001154,-0.251356,1230.0
AlpacaEval,CQR,16,1,2e-06,0.02,1400,8643.802299833296,58.27645,23.737373,54.13192,68.38279,76.00653,48.392223,43.57045,69.36667,78.85906,18.168123,950.77734,0.4422399,0.4512556,0.44551834,8643.7
AlpacaEval,CQR,17,1,4e-06,0.02,2000,12304.401447868346,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,CQR,18,0,4e-06,0.01,400,2466.3018249034885,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,19,0,2e-06,0.04,800,4920.102152681351,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,CQR,20,0,4e-06,0.01,400,2466.3018256187443,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,21,0,2e-06,0.01,1600,9825.801986312865,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,CQR,22,0,2e-06,0.01,1600,9825.802259540556,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,CQR,23,0,4e-06,0.01,400,2466.30190358162,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,CQR,24,0,4e-06,0.01,400,2466.3019228935245,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,RandomSearch,0,0,4e-06,0.02,2000,12304.401417350768,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,RandomSearch,1,0,2e-06,0.01,1600,9825.801846837996,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
AlpacaEval,RandomSearch,2,1,1e-06,0.01,1000,6173.702123737336,57.67918,21.717173,42.153145,67.51643,75.680084,47.312096,40.710316,59.366665,68.70748,6.773769,832.6963,-0.8848567,-1.091632,-0.9600477,6173.6
AlpacaEval,RandomSearch,3,0,1e-06,0.01,1000,6173.702303028107,57.67918,21.717173,42.153145,67.51643,75.680084,47.312096,40.710316,59.366665,68.70748,6.773769,832.6963,-0.8848567,-1.091632,-0.9600477,6173.6
AlpacaEval,RandomSearch,4,1,4e-06,0.02,2000,12304.402328586575,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,RandomSearch,5,0,4e-06,0.01,400,2466.301999664307,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,RandomSearch,6,1,4e-06,0.02,2000,12304.401634788512,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,RandomSearch,7,1,4e-06,0.04,800,4924.40383014679,58.70307,23.232323,56.330555,69.32882,76.16975,51.254017,51.90982,72.96667,77.054794,19.70793,1005.7145,1.1171892,0.8127004,1.006466,4924.3
AlpacaEval,RandomSearch,8,0,4e-06,0.01,400,2466.3016692161564,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,RandomSearch,9,0,4e-06,0.01,400,2466.304233884812,59.04437,24.242424,53.60121,69.34873,75.84331,49.211784,49.659184,75.8,85.2349,22.847424,982.0952,1.3029851,1.4532819,1.3576385,2466.2
AlpacaEval,RandomSearch,10,0,2e-06,0.04,800,4920.101896619797,58.361774,23.737373,52.691433,68.31309,76.060936,48.239243,42.517574,66.36667,75.34247,14.325414,879.23193,0.18613517,-0.12455011,0.073158704,4920.0
AlpacaEval,RandomSearch,11,1,4e-06,0.02,2000,12304.40212831497,59.215015,21.717173,56.254738,69.51802,75.89771,51.519127,50.704575,77.666664,80.68965,22.627554,927.859,0.9108035,0.8369621,0.8839521,12304.3
AlpacaEval,RandomSearch,12,0,2e-06,0.01,1600,9825.802928781508,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,0.04436696,0.847824,0.33653316,9825.7
