search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,200,2902.4030946254734,67.40614,36.868687,86.959816,77.61402,78.29162,60.46324,74.22511,83.933334,86.18421,36.236164,1187.1586,-0.21528699,0.8685886,0.17884961,2902.3
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,200,2914.1029654502872,69.79522,33.838383,69.21911,78.56005,78.726875,63.830074,71.74093,70.4,78.75817,30.636005,1128.614,0.24913828,-0.47151965,-0.012919149,2914.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,400,5804.803241109848,69.7099,35.858585,86.125854,78.56005,78.40044,64.35173,78.14687,81.066666,88.63636,37.674797,1177.7887,0.14950725,1.1059146,0.4972917,5804.7
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,400,5828.102965450287,70.05119,34.343433,76.269905,78.49034,78.618065,64.82638,72.02695,60.4,77.92208,34.703785,1125.9131,-0.14584614,-0.14259154,-0.14466265,5828.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,600,8707.103045797347,70.13652,38.88889,81.728584,78.87871,79.27095,65.23599,77.89958,76.9,85.197365,33.967716,1135.0472,0.54603136,0.7967253,0.6371928,8707.0
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,600,8742.102965450285,70.13652,37.373737,80.13647,78.62975,79.10773,66.55384,71.65975,57.9,73.7013,32.22494,1096.7938,0.23649149,-0.1791151,0.08536181,8742.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,800,11609.402850484848,70.13652,38.38384,80.97043,79.02808,78.99891,65.97394,77.350044,76.1,82.14286,34.47261,1132.5532,0.41701004,1.0580373,0.65011084,11609.3
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,800,11656.102965450284,70.47781,35.858585,74.601974,78.68951,79.05332,66.4648,63.414074,34.8,50.66225,26.836243,829.791,-0.08573787,-1.4994601,-0.5998187,11656.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1000,14511.702655172348,70.56314,37.373737,83.927216,79.27704,79.10773,65.758,77.41498,71.3,80.92105,32.98357,1111.9446,0.45911583,1.1323041,0.70391154,14511.6
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,1000,14570.102965450284,69.539246,37.373737,76.95224,78.32105,79.76061,66.78852,70.96282,46.033333,54.19355,20.736843,925.6551,0.31735727,-0.95393974,-0.14493254,14570.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1200,17414.103045797347,70.64846,36.868687,80.894615,79.286995,79.16213,65.46947,78.34795,72.36667,82.026146,36.98232,1146.4395,0.43345913,1.1494306,0.69381243,17414.0
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,1200,17484.102965450285,69.62457,35.858585,81.34951,78.57996,79.76061,66.5287,67.460724,55.4,65.38461,29.765627,1051.481,0.23723395,-0.3597583,0.020145863,17484.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1400,20316.403827047347,70.64846,36.363636,77.862015,79.12766,78.9445,66.13866,77.53987,66.833336,81.456955,36.008724,1101.2146,0.31806377,1.2529844,0.65803486,20316.3
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,1400,20398.102965450285,69.539246,35.858585,80.13647,78.42063,79.651794,66.378784,68.08646,48.933334,58.169933,23.974804,965.63696,0.2431827,-0.5181418,-0.03366256,20398.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1600,23218.702655172347,70.56314,37.373737,80.894615,79.15754,78.99891,66.25295,77.523636,70.0,82.89474,35.08908,1095.496,0.4189992,1.120864,0.67422277,23218.6
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,1600,23312.102965450285,69.79522,37.878788,82.63836,78.480385,79.37976,66.723976,65.321236,47.866665,61.764706,23.17343,1036.034,0.33958733,-0.5870093,0.002643094,23312.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,1800,26121.103045797347,70.64846,37.878788,83.24488,79.29695,79.21654,65.78827,77.705986,72.566666,83.333336,36.08847,1127.4045,0.6308379,1.3443019,0.8902794,26121.0
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,1800,26226.102965450285,69.96587,35.858585,83.47233,78.62975,79.59739,66.613014,64.633064,49.666668,64.0,26.837662,1004.3517,0.31859347,-0.45280978,0.038083192,26226.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,2000,29023.403827047347,70.904434,37.373737,81.65277,79.267075,79.05332,65.88285,77.35503,70.333336,81.37931,33.01597,1106.1248,0.47397798,1.1544961,0.7214391,29023.3
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,2000,29140.102965450285,69.62457,34.848484,82.41092,78.45051,79.434166,66.99348,66.91368,49.666668,61.612904,24.822346,992.62524,0.20766923,-0.40715054,-0.015901588,29140.0
Z-Dynamic,RandomSearch,0,1,1e-06,0.02,2031,29473.202655172347,70.73379,37.878788,83.093254,79.13762,79.16213,65.93633,78.68267,70.333336,80.645164,33.21044,1142.9513,0.57226336,1.2562624,0.8209903,29473.1
Z-Dynamic,RandomSearch,0,0,4e-06,0.04,2031,29591.802184200285,69.453926,36.363636,82.94162,78.42063,79.651794,66.96343,66.15181,49.666668,69.73684,24.579556,1013.246,0.3273237,-0.12902273,0.16137955,29591.7
Z-Dynamic,RandomSearch,0,2,4e-06,0.08,200,32400.26387438774,68.85666,33.838383,82.48673,77.843056,78.56366,63.636555,66.91866,67.53333,76.82119,23.38517,1096.6315,-0.115222685,-1.1074225,-0.47602263,2924.8
