search_objective,optimizer,seed,trial_id,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
AlpacaEval,ASHA,0,1,4e-07,0.02,1000,21530.90593729019,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,ASHA,1,0,2e-06,0.01,200,4259.706049060822,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
AlpacaEval,ASHA,2,0,4e-07,0.02,1000,21530.9061068058,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,ASHA,3,0,1e-06,0.01,400,8503.802076673506,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,ASHA,4,1,8e-07,0.01,600,12789.806902027129,71.843,39.89899,87.8696,80.39235,77.52992,64.07252,78.666435,76.7,85.66879,48.91728,1262.5881,0.26037732,1.628744,0.7579652,12789.7
AlpacaEval,ASHA,5,1,4e-07,0.02,1000,21530.906833982463,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,ASHA,6,1,2e-06,0.01,200,4259.709225034714,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
AlpacaEval,ASHA,7,1,2e-06,0.01,200,4259.706503248215,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
AlpacaEval,ASHA,8,0,2e-06,0.01,200,4259.704876995087,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
AlpacaEval,ASHA,9,0,4e-06,0.04,400,2651.6060880184177,71.331055,40.40404,87.793785,80.55168,76.87704,65.41553,77.57234,63.8,81.69935,40.74495,1203.8337,0.4438134,-0.5359083,0.08755099,2651.5
AlpacaEval,ASHA,10,1,4e-06,0.01,200,4264.105473136902,71.92833,39.39394,87.64215,80.60147,76.605,65.273674,76.106064,72.36667,84.09091,47.07675,1223.7786,0.40819418,1.07115,0.64926904,4264.0
AlpacaEval,ASHA,11,0,8e-07,0.01,600,12789.80522904396,71.843,39.89899,87.8696,80.39235,77.52992,64.07252,78.666435,76.7,85.66879,48.91728,1262.5881,0.26037732,1.628744,0.7579652,12789.7
AlpacaEval,ASHA,12,2,2e-06,0.01,200,47420.21444854737,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
AlpacaEval,ASHA,13,0,1e-06,0.01,400,8503.805728054045,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,ASHA,14,3,1e-06,0.01,400,26224.115939237592,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,ASHA,15,0,4e-07,0.02,1000,21530.90561685562,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,ASHA,16,1,8e-07,0.02,400,8516.605039930342,70.819115,37.878788,85.89841,79.56583,77.85637,62.375385,79.39833,70.86667,87.741936,42.64815,1230.9453,-0.15627754,0.74621487,0.17190152,8516.5
AlpacaEval,ASHA,17,1,8e-07,0.01,600,12789.805311775206,71.843,39.89899,87.8696,80.39235,77.52992,64.07252,78.666435,76.7,85.66879,48.91728,1262.5881,0.26037732,1.628744,0.7579652,12789.7
AlpacaEval,ASHA,18,0,1e-06,0.01,400,8503.80690345764,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,ASHA,19,0,1e-06,0.01,400,8503.806188917159,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,ASHA,20,1,4e-06,0.04,400,2651.6051743984226,71.331055,40.40404,87.793785,80.55168,76.87704,65.41553,77.57234,63.8,81.69935,40.74495,1203.8337,0.4438134,-0.5359083,0.08755099,2651.5
AlpacaEval,ASHA,21,0,8e-07,0.01,600,12789.836103296278,71.843,39.89899,87.8696,80.39235,77.52992,64.07252,78.666435,76.7,85.66879,48.91728,1262.5881,0.26037732,1.628744,0.7579652,12789.7
AlpacaEval,ASHA,22,1,4e-07,0.01,800,17071.304427242278,70.47781,38.38384,85.36771,80.10356,77.74755,63.408108,79.58943,75.26667,85.25641,47.398552,1245.7744,-0.55939233,1.3519208,0.13563064,17071.2
AlpacaEval,ASHA,23,1,4e-07,0.02,1000,21530.911588048933,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,ASHA,24,0,1e-06,0.01,400,8503.804836845396,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.23333,86.92811,50.0,1262.8969,0.2360827,1.5734199,0.72238714,8503.7
AlpacaEval,BOHB,0,1,4e-07,0.02,1000,21530.90636262893,71.07509,39.39394,86.353294,79.56583,78.019585,62.928715,79.95912,72.13333,85.48387,44.30955,1251.7719,-0.26923802,1.2071754,0.26763958,21530.8
AlpacaEval,BOHB,1,0,2e-06,0.01,200,4259.7289713382725,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.6731518,1.4293734,0.94814146,4259.6
