search_objective,optimizer,seed,trial_id,size,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
ELO,RandomSearch,0,0,4b,2e-06,0.04,200,688.2018397808074,68.34471,35.858585,89.08264,78.00239,78.34603,62.65436,76.79673,60.566666,83.333336,30.749954,1171.565,0.66201943,0.39213806,0.56388074,688.1
ELO,RandomSearch,0,0,4b,2e-06,0.04,400,1376.301815366745,69.79522,33.838383,82.10766,78.530174,78.78128,64.88031,75.33295,60.566666,81.78808,30.673689,1149.5388,0.5869644,0.21740004,0.45257738,1376.2
ELO,RandomSearch,0,0,4b,2e-06,0.04,600,2064.401913022996,70.392494,36.363636,79.529945,78.57996,78.726875,65.63287,75.295494,60.566666,78.1457,30.666697,1141.2065,0.62121266,0.14382754,0.44761807,2064.3
ELO,RandomSearch,0,0,4b,2e-06,0.04,800,2752.5017665386204,70.64846,35.858585,78.999245,78.669586,78.9445,65.986336,71.85207,60.566666,74.18301,26.456081,1092.4254,0.58828765,-0.003047204,0.3732568,2752.4
ELO,RandomSearch,0,0,4b,2e-06,0.04,1000,3440.6018641948704,70.05119,38.88889,77.331314,78.47042,79.05332,65.70858,76.47326,60.566666,75.81699,25.407207,1046.648,0.6688575,0.00985271,0.42921942,3440.5
ELO,RandomSearch,0,0,4b,2e-06,0.04,1200,4128.70196185112,70.13652,38.88889,80.06065,78.42063,79.325356,64.607605,76.016136,60.566666,77.45098,27.671158,1069.6854,0.6908505,0.04252271,0.45509493,4128.6
ELO,RandomSearch,0,1,8b,4e-06,0.01,200,4264.101937150956,71.92833,39.39394,87.64215,80.60147,76.605,65.273674,76.106064,72.36667,84.09091,47.07675,1223.7786,0.79442984,1.0038065,0.8705668,4264.0
ELO,RandomSearch,0,0,4b,2e-06,0.04,1400,4816.80205950737,70.392494,37.878788,81.57695,78.480385,78.99891,65.23377,76.07858,60.566666,72.22222,25.622616,1017.6786,0.6931581,-0.13009298,0.39379406,4816.7
ELO,RandomSearch,0,0,4b,2e-06,0.04,1600,5504.90166888237,70.30717,38.38384,82.031845,78.291176,79.325356,65.48581,73.624374,60.566666,73.35526,23.906565,1064.3693,0.69562554,-0.1013991,0.40579838,5504.8
ELO,RandomSearch,0,0,4b,2e-06,0.04,1800,6193.10186419487,70.392494,36.363636,83.47233,78.530174,79.325356,64.90244,74.64228,60.566666,75.4902,26.422644,1017.01514,0.6649122,-0.04189105,0.40789288,6193.0
ELO,RandomSearch,0,0,4b,2e-06,0.04,2000,6881.20196185112,70.13652,38.38384,83.77559,78.49034,79.21654,64.824356,72.91121,60.566666,71.47651,23.751642,1036.8584,0.6931924,-0.17572044,0.37722412,6881.1
ELO,RandomSearch,0,0,4b,2e-06,0.04,2031,6987.80205950737,69.96587,37.878788,83.47233,78.47042,78.99891,64.94348,73.19723,60.566666,73.376625,24.07331,1054.9054,0.6701578,-0.08980366,0.39380816,6987.7
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,200,8218.384129381178,57.167236,23.737373,39.120544,67.5961,75.680084,47.13689,40.50924,58.166668,61.589405,6.9687867,765.80023,-0.86049575,-0.891063,-0.8716111,1228.2
ELO,RandomSearch,0,1,8b,4e-06,0.01,400,8528.201546525954,73.63481,39.89899,89.461716,80.521805,75.51687,66.80005,76.452034,68.23333,87.08609,43.21869,1224.9589,0.7624777,0.8317576,0.7876704,8528.1
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,400,9446.584080553052,57.84983,22.222221,47.76346,68.153755,75.89771,47.210308,42.169113,68.566666,79.054054,13.109597,915.9603,-0.86076695,-0.122775875,-0.5924066,2456.4
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,600,10674.784275865552,58.447098,23.737373,53.222137,68.47241,75.89771,47.677372,43.378124,68.73333,79.13908,13.109597,946.8224,-0.76869804,-0.058540355,-0.5104589,3684.6
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,800,11902.983982896803,58.61775,21.717173,53.070507,68.482376,75.680084,47.835857,44.05256,70.2,73.44827,17.706066,992.2613,-0.8427775,0.0014687382,-0.5357789,4912.8
ELO,RandomSearch,0,1,8b,4e-06,0.01,600,12792.201546525954,74.14676,41.414143,89.158455,81.27863,76.93145,67.33915,73.779236,66.3,81.089745,42.5866,1199.5413,0.8254111,0.63508534,0.75620174,12792.1
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,1000,13131.184178209303,58.191128,20.20202,53.44958,68.47241,76.060936,47.843754,44.414764,73.066666,76.736115,18.481031,947.7427,-0.85410285,0.1997141,-0.47089672,6141.0
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,1200,14359.483982896803,58.70307,22.727272,53.82866,68.52221,76.16975,48.00654,43.677887,71.7,81.0,17.211168,953.0322,-0.7872577,0.20464063,-0.4265674,7369.3
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,1400,15587.684178209303,58.1058,21.212122,54.056103,68.41267,75.7345,48.152256,45.511353,71.36667,81.08108,16.864948,964.44305,-0.825714,0.2792613,-0.4239048,8597.5
ELO,RandomSearch,0,2,1.7b,2e-06,0.01,1600,16815.884373521803,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.36667,79.86577,19.916653,993.6011,-0.80166423,0.33463028,-0.38846624,9825.7
