search_objective,optimizer,seed,trial_id,size,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
ELO,ASHA,0,0,14b,2e-06,0.01,200,6789.502041196824,72.01365,36.868687,91.96361,82.23461,78.67247,66.43039,77.74721,76.9,85.80645,57.493683,1285.0702,0.89506,1.1885978,1.001801,6789.4
ELO,ASHA,1,0,8b,1e-06,0.01,400,8503.80217657089,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.13333,86.92811,50.0,1262.8969,0.7328495,1.0249617,0.8390721,8503.7
ELO,ASHA,2,1,8b,4e-06,0.01,400,8528.202849483489,73.63481,39.89899,89.461716,80.521805,75.51687,66.80005,76.452034,68.066666,87.08609,43.21869,1224.9589,0.7624777,0.71194535,0.7441023,8528.1
ELO,ASHA,3,1,8b,1e-06,0.01,400,8503.803674316405,71.50171,38.38384,87.03563,80.30273,77.52992,63.918243,78.31548,75.13333,86.92811,50.0,1262.8969,0.7328495,1.0249617,0.8390721,8503.7
ELO,ASHA,4,3,14b,2e-06,0.04,200,26297.24315152168,71.331055,36.868687,89.9166,82.03545,79.86942,62.660313,78.98243,67.13333,84.31373,41.638817,1232.137,0.8657634,0.6721739,0.79536724,6766.9
ELO,ASHA,5,2,14b,4e-06,0.01,200,16739.825455760954,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,70.666664,86.451614,53.84435,1268.0673,0.897812,0.9996048,0.93482757,6759.6
ELO,ASHA,6,10,4b,1e-06,0.01,200,20428.24103866767,67.06485,34.848484,86.732376,77.82314,78.07399,60.518658,75.3442,84.166664,86.21795,38.53362,1210.0366,0.54670376,1.025507,0.720814,2902.3
ELO,ASHA,7,1,8b,1e-06,0.02,400,8508.002743339537,71.07509,38.38384,85.74678,79.82474,77.85637,63.049118,79.82049,69.6,83.22581,43.49624,1254.9758,0.72375345,0.6804024,0.7079894,8507.9
ELO,ASHA,8,0,8b,1e-06,0.02,400,8508.00219926834,71.07509,38.38384,85.74678,79.82474,77.85637,63.049118,79.82049,69.6,83.22581,43.49624,1254.9758,0.72375345,0.6804024,0.7079894,8507.9
ELO,ASHA,9,0,14b,4e-06,0.02,200,6764.006626224518,72.61092,37.373737,91.43291,82.13503,78.23721,68.20614,78.7239,72.96667,83.552635,50.026516,1262.8114,0.92929727,0.9276821,0.92871,6763.9
ELO,ASHA,10,5,8b,4e-06,0.01,200,27959.50601730537,71.92833,39.39394,87.64215,80.60147,76.605,65.273674,76.106064,72.2,84.09091,47.07675,1223.7786,0.79442984,0.8439179,0.8124255,4264.0
