search_objective,optimizer,seed,trial_id,size,lr,beta,dpo_step,st_tuner_time,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,elapsed_time_sec
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,200,1228.3030923366546,57.167236,23.737373,39.120544,67.5961,75.680084,47.13689,40.50924,57.966667,61.589405,6.9687867,765.80023,-0.86049575,-0.9794523,-0.9037527,1228.2
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,200,1228.3031803131105,57.167236,23.737373,39.120544,67.5961,75.680084,47.13689,40.50924,57.966667,61.589405,6.9687867,765.80023,-0.86049575,-0.9794523,-0.9037527,1228.2
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,400,2456.50304350853,57.84983,22.222221,47.76346,68.153755,75.89771,47.210308,42.169113,68.5,79.054054,13.109597,915.9603,-0.86076695,-0.23039496,-0.6315408,2456.4
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,400,2456.5031314849857,57.84983,22.222221,47.76346,68.153755,75.89771,47.210308,42.169113,68.5,79.054054,13.109597,915.9603,-0.86076695,-0.23039496,-0.6315408,2456.4
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,600,3684.70323882103,58.447098,23.737373,53.222137,68.47241,75.89771,47.677372,43.378124,68.8,79.13908,17.221611,946.8224,-0.76869804,-0.054362442,-0.5089397,3684.6
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,600,3684.7033267974857,58.447098,23.737373,53.222137,68.47241,75.89771,47.677372,43.378124,68.8,79.13908,17.221611,946.8224,-0.76869804,-0.054362442,-0.5089397,3684.6
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,800,4912.90294585228,58.61775,21.717173,53.070507,68.482376,75.680084,47.835857,44.05256,70.433334,73.44827,17.706066,992.2613,-0.8427775,-0.02015677,-0.5436427,4912.8
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,800,4912.903033828736,58.61775,21.717173,53.070507,68.482376,75.680084,47.835857,44.05256,70.433334,73.44827,17.706066,992.2613,-0.8427775,-0.02015677,-0.5436427,4912.8
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,1000,6141.10314116478,58.191128,20.20202,53.44958,68.47241,76.060936,47.843754,44.414764,73.4,76.736115,18.481031,947.7427,-0.85410285,0.22981514,-0.45995086,6141.0
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,1000,6141.103229141236,58.191128,20.20202,53.44958,68.47241,76.060936,47.843754,44.414764,73.4,76.736115,18.481031,947.7427,-0.85410285,0.22981514,-0.45995086,6141.0
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,1200,7369.40294585228,58.70307,22.727272,53.82866,68.52221,76.16975,48.00654,43.677887,71.5,81.0,17.211168,953.0322,-0.7872577,0.19476843,-0.43015727,7369.3
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,1200,7369.403033828736,58.70307,22.727272,53.82866,68.52221,76.16975,48.00654,43.677887,71.5,81.0,17.211168,953.0322,-0.7872577,0.19476843,-0.43015727,7369.3
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,1400,8597.603141164778,58.1058,21.212122,54.056103,68.41267,75.7345,48.152256,45.511353,71.36667,81.08108,16.864948,964.44305,-0.825714,0.29310176,-0.4188719,8597.5
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,1400,8597.603229141234,58.1058,21.212122,54.056103,68.41267,75.7345,48.152256,45.511353,71.36667,81.08108,16.864948,964.44305,-0.825714,0.29310176,-0.4188719,8597.5
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,1600,9825.803336477278,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.73333,79.86577,19.916653,993.6011,-0.80166423,0.3678963,-0.3763695,9825.7
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,1600,9825.803424453734,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.73333,79.86577,19.916653,993.6011,-0.80166423,0.3678963,-0.3763695,9825.7
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,1800,11054.003531789778,58.27645,22.727272,55.0417,68.34296,75.7889,48.059814,45.49013,70.066666,76.89655,18.678776,916.4374,-0.7758033,0.06603792,-0.46967924,11053.9
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,1800,11054.003619766234,58.27645,22.727272,55.0417,68.34296,75.7889,48.059814,45.49013,70.066666,76.89655,18.678776,916.4374,-0.7758033,0.06603792,-0.46967924,11053.9
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,2000,12282.202750539778,58.532425,20.707071,54.662624,68.54212,76.060936,48.1672,45.081715,72.933334,77.39726,18.715996,930.2556,-0.819078,0.24330455,-0.43275708,12282.1
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,2000,12282.202838516234,58.532425,20.707071,54.662624,68.54212,76.060936,48.1672,45.081715,72.933334,77.39726,18.715996,930.2556,-0.819078,0.24330455,-0.43275708,12282.1
ELO,RandomSearch,0,0,1.7b,2e-06,0.01,2031,12472.603141164778,58.191128,21.717173,53.904472,68.54212,76.278564,48.0962,45.677467,71.4,76.35135,18.186985,957.38477,-0.7908683,0.17266339,-0.44049314,12472.5
ELO,RandomSearch,0,1,1.7b,2e-06,0.01,2031,12472.603229141234,58.191128,21.717173,53.904472,68.54212,76.278564,48.0962,45.677467,71.4,76.35135,18.186985,957.38477,-0.7908683,0.17266339,-0.44049314,12472.5
ELO,RandomSearch,0,2,4b,4e-06,0.02,200,15388.95715317726,69.88055,35.353535,81.12206,78.94842,78.618065,64.89841,71.93702,75.4,81.6129,37.829903,1116.9609,0.64650476,0.6260297,0.63905925,2913.7
ELO,RandomSearch,0,2,4b,4e-06,0.02,400,18302.557006692885,70.22184,33.838383,85.291885,79.39654,78.67247,64.6535,73.00363,73.166664,76.64474,41.00121,1105.864,0.60108685,0.40017116,0.5280266,5827.3
ELO,RandomSearch,0,3,14b,4e-06,0.01,200,19234.857368326186,74.06143,36.363636,90.59894,82.25453,77.14908,69.228386,79.03363,70.666664,86.451614,53.84435,1268.0673,0.897812,0.9996048,0.93482757,6759.6
ELO,RandomSearch,0,2,4b,4e-06,0.02,600,21216.257202005385,70.904434,34.343433,81.88021,80.01394,78.618065,65.989456,72.95243,66.566666,73.07692,38.932346,1084.3948,0.6023569,0.14190528,0.43491995,8741.0
ELO,RandomSearch,0,2,4b,4e-06,0.02,800,24129.957397317885,70.56314,36.868687,81.57695,79.88448,79.37976,65.197296,67.58312,50.933334,65.77181,33.512875,948.1435,0.618273,-0.5645927,0.18814,11654.7
ELO,RandomSearch,0,3,14b,4e-06,0.01,400,25994.356880044936,73.97611,31.818182,91.20546,83.04123,76.93145,70.14576,77.9945,66.63333,83.552635,52.677757,1234.3727,0.73953426,0.71244794,0.72968465,13519.1
ELO,RandomSearch,0,2,4b,4e-06,0.02,1000,27043.557006692885,69.62457,38.38384,84.07885,79.187416,79.542984,65.55958,69.32168,50.9,62.0,29.815321,993.3063,0.6704056,-0.73220295,0.16036615,14568.3
ELO,RandomSearch,0,2,4b,4e-06,0.02,1200,29957.257202005385,69.453926,35.858585,80.97043,79.77495,79.76061,66.131676,68.95698,59.566666,74.666664,36.140495,1054.4884,0.6200105,-0.0017606756,0.39391187,17482.0
ELO,RandomSearch,0,3,14b,4e-06,0.01,600,32753.956489419936,74.48805,31.313131,89.61334,83.09102,77.801956,70.3496,70.540665,61.133335,78.3871,47.87183,1181.4106,0.6918392,0.39954484,0.58555037,20278.7
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,200,1228.3025063037871,57.167236,23.737373,39.120544,67.5961,75.680084,47.13689,40.50924,57.966667,61.589405,6.9687867,765.80023,-0.86049575,-0.9794523,-0.9037527,1228.2
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,400,2456.5024574756626,57.84983,22.222221,47.76346,68.153755,75.89771,47.210308,42.169113,68.5,79.054054,13.109597,915.9603,-0.86076695,-0.23039496,-0.6315408,2456.4
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,600,3684.7026527881626,58.447098,23.737373,53.222137,68.47241,75.89771,47.677372,43.378124,68.8,79.13908,17.221611,946.8224,-0.76869804,-0.054362442,-0.5089397,3684.6
ELO,RandomSearch,1,1,8b,2e-06,0.01,200,4259.702740764618,70.819115,38.38384,86.353294,80.233025,77.85637,63.270527,78.69641,77.73333,84.83871,47.87344,1242.7335,0.7766102,1.0122542,0.86229897,4259.6
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,800,4912.902359819413,58.61775,21.717173,53.070507,68.482376,75.680084,47.835857,44.05256,70.433334,73.44827,17.706066,992.2613,-0.8427775,-0.02015677,-0.5436427,4912.8
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,1000,6141.102555131913,58.191128,20.20202,53.44958,68.47241,76.060936,47.843754,44.414764,73.4,76.736115,18.481031,947.7427,-0.85410285,0.22981514,-0.45995086,6141.0
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,1200,7369.402359819413,58.70307,22.727272,53.82866,68.52221,76.16975,48.00654,43.677887,71.5,81.0,17.211168,953.0322,-0.7872577,0.19476843,-0.43015727,7369.3
ELO,RandomSearch,1,1,8b,2e-06,0.01,400,8519.402447795866,72.01365,40.40404,88.097046,80.37244,76.82263,65.38366,78.81383,71.833336,83.870964,45.50266,1220.1434,0.7921357,0.7473257,0.7758412,8519.3
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,1400,8597.60255513191,58.1058,21.212122,54.056103,68.41267,75.7345,48.152256,45.511353,71.36667,81.08108,16.864948,964.44305,-0.825714,0.29310176,-0.4188719,8597.5
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,1600,9825.80275044441,58.27645,21.717173,54.662624,68.42262,75.952126,48.15608,46.68413,71.73333,79.86577,19.916653,993.6011,-0.80166423,0.3678963,-0.3763695,9825.7
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,1800,11054.00294575691,58.27645,22.727272,55.0417,68.34296,75.7889,48.059814,45.49013,70.066666,76.89655,18.678776,916.4374,-0.7758033,0.06603792,-0.46967924,11053.9
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,2000,12282.20216450691,58.532425,20.707071,54.662624,68.54212,76.060936,48.1672,45.081715,72.933334,77.39726,18.715996,930.2556,-0.819078,0.24330455,-0.43275708,12282.1
ELO,RandomSearch,1,0,1.7b,2e-06,0.01,2031,12472.60255513191,58.191128,21.717173,53.904472,68.54212,76.278564,48.0962,45.677467,71.4,76.35135,18.186985,957.38477,-0.7908683,0.17266339,-0.44049314,12472.5
