size,optimizer,pct_reached
0.6b,RandomSearch,84.0
0.6b,BOTorch,76.0
0.6b,TPE,88.0
0.6b,CQR,84.0
0.6b,ASHA,100.0
0.6b,BOHB,100.0
1.7b,RandomSearch,96.0
1.7b,BOTorch,84.0
1.7b,TPE,92.0
1.7b,CQR,76.0
1.7b,ASHA,100.0
1.7b,BOHB,96.0
4b,RandomSearch,92.0
4b,BOTorch,80.0
4b,TPE,96.0
4b,CQR,96.0
4b,ASHA,100.0
4b,BOHB,96.0
8b,RandomSearch,100.0
8b,BOTorch,96.0
8b,TPE,100.0
8b,CQR,100.0
8b,ASHA,100.0
8b,BOHB,100.0
14b,RandomSearch,100.0
14b,BOTorch,68.0
14b,TPE,96.0
14b,CQR,100.0
14b,ASHA,92.0
14b,BOHB,100.0
