size,objective,n_configs,mean_rank,norm_rank,hit_rate
0.6b,ELO,9,4.84,0.48,0.6666666666666667
0.6b,Arena-Hard,9,1.7,0.0875,64.66666666666666
0.6b,MT-Bench,9,2.6733333333333333,0.20916666666666667,0.0
0.6b,AlpacaEval,9,1.5266666666666666,0.06583333333333333,66.0
0.6b,IFEval,9,1.8133333333333332,0.10166666666666666,56.666666666666664
0.6b,Z-All,9,1.5466666666666666,0.06833333333333333,66.0
1.7b,ELO,9,2.6,0.2,26.0
1.7b,Arena-Hard,9,2.033333333333333,0.12916666666666665,20.666666666666668
1.7b,MT-Bench,9,2.2533333333333334,0.15666666666666668,65.33333333333333
1.7b,AlpacaEval,9,2.26,0.15749999999999997,19.333333333333332
1.7b,IFEval,9,2.18,0.14750000000000002,14.666666666666666
1.7b,Z-All,9,2.1333333333333333,0.14166666666666666,22.0
4b,ELO,16,2.7933333333333334,0.11955555555555557,20.0
4b,Arena-Hard,16,2.3733333333333335,0.09155555555555557,8.666666666666668
4b,MT-Bench,16,3.2933333333333334,0.1528888888888889,5.333333333333334
4b,AlpacaEval,16,8.48,0.4986666666666667,10.666666666666668
4b,IFEval,16,2.3266666666666667,0.08844444444444445,53.333333333333336
4b,Z-All,16,2.493333333333333,0.09955555555555555,27.333333333333332
8b,ELO,15,2.48,0.10571428571428572,52.666666666666664
8b,Arena-Hard,15,4.193333333333333,0.2280952380952381,2.666666666666667
8b,MT-Bench,15,5.413333333333333,0.3152380952380952,3.3333333333333335
8b,AlpacaEval,15,2.34,0.09571428571428571,50.0
8b,IFEval,15,9.56,0.6114285714285714,0.6666666666666667
8b,Z-All,15,6.786666666666667,0.4133333333333334,4.0
14b,ELO,12,4.28,0.2981818181818182,6.666666666666667
14b,Arena-Hard,12,3.9266666666666667,0.26606060606060605,6.666666666666667
14b,MT-Bench,12,4.493333333333333,0.31757575757575757,8.0
14b,AlpacaEval,12,5.653333333333333,0.42303030303030303,1.3333333333333335
14b,IFEval,12,3.2866666666666666,0.20787878787878789,50.0
14b,Z-All,12,4.673333333333333,0.3339393939393939,0.6666666666666667
