size,objective,n_configs,mean_rank,norm_rank,hit_rate
0.6b,ELO,9,4.526666666666666,0.4408333333333333,12.0
0.6b,Arena-Hard,9,2.72,0.21500000000000002,36.0
0.6b,MT-Bench,9,3.2866666666666666,0.28583333333333333,15.333333333333332
0.6b,AlpacaEval,9,2.82,0.22749999999999998,32.666666666666664
0.6b,IFEval,9,2.6266666666666665,0.2033333333333333,38.0
0.6b,Z-All,9,2.4,0.175,40.666666666666664
1.7b,ELO,9,3.6733333333333333,0.33416666666666667,18.666666666666668
1.7b,Arena-Hard,9,3.42,0.3025,23.333333333333332
1.7b,MT-Bench,9,3.62,0.3275,25.333333333333336
1.7b,AlpacaEval,9,3.3933333333333335,0.2991666666666667,22.666666666666664
1.7b,IFEval,9,3.46,0.3075,17.333333333333336
1.7b,Z-All,9,3.513333333333333,0.31416666666666665,18.666666666666668
4b,ELO,16,5.66,0.3106666666666667,14.666666666666666
4b,Arena-Hard,16,5.473333333333334,0.2982222222222222,8.666666666666668
4b,MT-Bench,16,5.64,0.3093333333333333,6.666666666666667
4b,AlpacaEval,16,8.366666666666667,0.49111111111111116,15.333333333333332
4b,IFEval,16,5.173333333333333,0.2782222222222222,21.333333333333336
4b,Z-All,16,5.18,0.2786666666666667,21.333333333333336
8b,ELO,9,4.346666666666667,0.41833333333333333,20.666666666666668
8b,Arena-Hard,9,3.8666666666666667,0.35833333333333334,18.0
8b,MT-Bench,9,3.72,0.34,20.0
8b,AlpacaEval,9,3.506666666666667,0.31333333333333335,24.0
8b,IFEval,9,4.446666666666666,0.4308333333333333,17.333333333333336
8b,Z-All,9,3.58,0.3225,22.0
14b,ELO,9,5.453333333333333,0.5566666666666666,10.0
14b,Arena-Hard,9,3.3333333333333335,0.2916666666666667,19.333333333333332
14b,MT-Bench,9,5.793333333333333,0.5991666666666666,2.0
14b,IFEval,9,4.78,0.47250000000000003,4.0
14b,Z-All,9,3.7333333333333334,0.3416666666666667,25.333333333333336
